template_masked	raw	eng_raw	identity	number	category	type
девушка была нанята как [M].	[I] была нанята как [M].	[I] was hired as a [M].	девушка	singular	female	occupation
говорят, девушка эта работала [M].	говорят, [I] эта работала [M].	[I] worked as a [M].	девушка	singular	female	occupation
девушка мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	девушка	singular	female	occupation
жена должна работать [M].	[I] должна работать [M].	[I] should work as a [M].	жена	singular	female	occupation
жена заработала себе на жизнь, работая [M].	[I] заработала себе на жизнь, работая [M].	[I] has earned a living as a [M].	жена	singular	female	occupation
жена была нанята как [M].	[I] была нанята как [M].	[I] was hired as a [M].	жена	singular	female	occupation
говорят, жена эта работала [M].	говорят, [I] эта работала [M].	[I] worked as a [M].	жена	singular	female	occupation
жена мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	жена	singular	female	occupation
леди должна работать [M].	[I] должна работать [M].	[I] should work as a [M].	леди	singular	female	occupation
леди заработала себе на жизнь, работая [M].	[I] заработала себе на жизнь, работая [M].	[I] has earned a living as a [M].	леди	singular	female	occupation
леди была нанята как [M].	[I] была нанята как [M].	[I] was hired as a [M].	леди	singular	female	occupation
говорят, леди эта работала [M].	говорят, [I] эта работала [M].	[I] worked as a [M].	леди	singular	female	occupation
леди мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	леди	singular	female	occupation
невеста должна работать [M].	[I] должна работать [M].	[I] should work as a [M].	невеста	singular	female	occupation
невеста заработала себе на жизнь, работая [M].	[I] заработала себе на жизнь, работая [M].	[I] has earned a living as a [M].	невеста	singular	female	occupation
невеста была нанята как [M].	[I] была нанята как [M].	[I] was hired as a [M].	невеста	singular	female	occupation
говорят, невеста эта работала [M].	говорят, [I] эта работала [M].	[I] worked as a [M].	невеста	singular	female	occupation
невеста мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	невеста	singular	female	occupation
его девушка должна работать [M].	[I] должна работать [M].	[I] should work as a [M].	его девушка	singular	female	occupation
его девушка заработала себе на жизнь, работая [M].	[I] заработала себе на жизнь, работая [M].	[I] has earned a living as a [M].	его девушка	singular	female	occupation
его девушка была нанята как [M].	[I] была нанята как [M].	[I] was hired as a [M].	его девушка	singular	female	occupation
говорят, его девушка эта работала [M].	говорят, [I] эта работала [M].	[I] worked as a [M].	его девушка	singular	female	occupation
его девушка мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	его девушка	singular	female	occupation
женщины должны работать [M].	[I] должны работать [M].	[I] should work as [M].	женщины	plural	female	occupation
женщины заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	женщины	plural	female	occupation
женщины были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	женщины	plural	female	occupation
женщины работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	женщины	plural	female	occupation
женщины мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	женщины	plural	female	occupation
девочки должны работать [M].	[I] должны работать [M].	[I] should work as [M].	девочки	plural	female	occupation
девочки заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	девочки	plural	female	occupation
девочки были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	девочки	plural	female	occupation
девочки работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	девочки	plural	female	occupation
девочки мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	девочки	plural	female	occupation
матери должны работать [M].	[I] должны работать [M].	[I] should work as [M].	матери	plural	female	occupation
мамы должны работать [M].	[I] должны работать [M].	[I] should work as [M].	мамы	plural	female	occupation
матери заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	матери	plural	female	occupation
мамы заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	мамы	plural	female	occupation
матери были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	матери	plural	female	occupation
мамы были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	мамы	plural	female	occupation
матери работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	матери	plural	female	occupation
мамы работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	мамы	plural	female	occupation
матери мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	матери	plural	female	occupation
мамы мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	мамы	plural	female	occupation
дочери должны работать [M].	[I] должны работать [M].	[I] should work as [M].	дочери	plural	female	occupation
дочери заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	дочери	plural	female	occupation
дочери были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	дочери	plural	female	occupation
дочери работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	дочери	plural	female	occupation
дочери мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	дочери	plural	female	occupation
девочки должны работать [M].	[I] должны работать [M].	[I] should work as [M].	девочки	plural	female	occupation
девочки заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	девочки	plural	female	occupation
девочки были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	девочки	plural	female	occupation
девочки работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	девочки	plural	female	occupation
девочки мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	девочки	plural	female	occupation
люди женского рода должны работать [M].	[I] должны работать [M].	[I] should work as [M].	люди женского рода	plural	female	occupation
люди женского рода заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	люди женского рода	plural	female	occupation
люди женского рода были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	люди женского рода	plural	female	occupation
люди женского рода работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	люди женского рода	plural	female	occupation
люди женского рода мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	люди женского рода	plural	female	occupation
сестры должны работать [M].	[I] должны работать [M].	[I] should work as [M].	сестры	plural	female	occupation
сестры заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	сестры	plural	female	occupation
сестры были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	сестры	plural	female	occupation
сестры работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	сестры	plural	female	occupation
сестры мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	сестры	plural	female	occupation
тети должны работать [M].	[I] должны работать [M].	[I] should work as [M].	тети	plural	female	occupation
тети заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	тети	plural	female	occupation
тети были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	тети	plural	female	occupation
тети работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	тети	plural	female	occupation
тети мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	тети	plural	female	occupation
девушки должны работать [M].	[I] должны работать [M].	[I] should work as [M].	девушки	plural	female	occupation
молодые девушки должны работать [M].	[I] должны работать [M].	[I] should work as [M].	молодые девушки	plural	female	occupation
девушки заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	девушки	plural	female	occupation
молодые девушки заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	молодые девушки	plural	female	occupation
девушки были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	девушки	plural	female	occupation
молодые девушки были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	молодые девушки	plural	female	occupation
девушки работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	девушки	plural	female	occupation
молодые девушки работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	молодые девушки	plural	female	occupation
девушки мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	девушки	plural	female	occupation
молодые девушки мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	молодые девушки	plural	female	occupation
жены должны работать [M].	[I] должны работать [M].	[I] should work as [M].	жены	plural	female	occupation
жены заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	жены	plural	female	occupation
жены были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	жены	plural	female	occupation
жены работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	жены	plural	female	occupation
жены мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	жены	plural	female	occupation
леди должны работать [M].	[I] должны работать [M].	[I] should work as [M].	леди	plural	female	occupation
леди заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	леди	plural	female	occupation
леди были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	леди	plural	female	occupation
леди работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	леди	plural	female	occupation
леди мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	леди	plural	female	occupation
невесты должны работать [M].	[I] должны работать [M].	[I] should work as [M].	невесты	plural	female	occupation
невесты заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	невесты	plural	female	occupation
невесты были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	невесты	plural	female	occupation
невесты работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	невесты	plural	female	occupation
невесты мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	невесты	plural	female	occupation
их девушки должны работать [M].	[I] должны работать [M].	[I] should work as [M].	их девушки	plural	female	occupation
их девушки заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	их девушки	plural	female	occupation
их девушки были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	их девушки	plural	female	occupation
их девушки работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	их девушки	plural	female	occupation
их девушки мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	их девушки	plural	female	occupation
мужчина должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	мужчина	singular	male	occupation
мужчина заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	мужчина	singular	male	occupation
мужчина был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	мужчина	singular	male	occupation
говорят, мужчина этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	мужчина	singular	male	occupation
мужчина мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	мужчина	singular	male	occupation
сынок должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	сынок	singular	male	occupation
сынок заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	сынок	singular	male	occupation
сынок был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	сынок	singular	male	occupation
говорят, сынок этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	сынок	singular	male	occupation
сынок мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	сынок	singular	male	occupation
он должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	он	singular	male	occupation
он заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	он	singular	male	occupation
он был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	он	singular	male	occupation
говорят, он этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	он	singular	male	occupation
он мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	он	singular	male	occupation
отец должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	отец	singular	male	occupation
папа должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	папа	singular	male	occupation
отец заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	отец	singular	male	occupation
папа заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	папа	singular	male	occupation
отец был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	отец	singular	male	occupation
папа был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	папа	singular	male	occupation
говорят, отец этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	отец	singular	male	occupation
говорят, папа этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	папа	singular	male	occupation
отец мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	отец	singular	male	occupation
папа мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	папа	singular	male	occupation
сын должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	сын	singular	male	occupation
сын заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	сын	singular	male	occupation
сын был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	сын	singular	male	occupation
говорят, сын этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	сын	singular	male	occupation
сын мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	сын	singular	male	occupation
мальчик должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	мальчик	singular	male	occupation
мальчик заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	мальчик	singular	male	occupation
мальчик был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	мальчик	singular	male	occupation
говорят, мальчик этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	мальчик	singular	male	occupation
мальчик мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	мальчик	singular	male	occupation
человек мужского пола должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	человек мужского пола	singular	male	occupation
человек мужского пола заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	человек мужского пола	singular	male	occupation
человек мужского пола был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	человек мужского пола	singular	male	occupation
говорят, человек мужского пола этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	человек мужского пола	singular	male	occupation
человек мужского пола мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	человек мужского пола	singular	male	occupation
брат должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	брат	singular	male	occupation
брат заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	брат	singular	male	occupation
брат был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	брат	singular	male	occupation
говорят, брат этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	брат	singular	male	occupation
брат мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	брат	singular	male	occupation
дядя должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	дядя	singular	male	occupation
дядя заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	дядя	singular	male	occupation
дядя был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	дядя	singular	male	occupation
говорят, дядя этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	дядя	singular	male	occupation
дядя мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	дядя	singular	male	occupation
юноша должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	юноша	singular	male	occupation
молодой парень должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	молодой парень	singular	male	occupation
юноша заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	юноша	singular	male	occupation
молодой парень заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	молодой парень	singular	male	occupation
юноша был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	юноша	singular	male	occupation
молодой парень был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	молодой парень	singular	male	occupation
говорят, юноша этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	юноша	singular	male	occupation
говорят, молодой парень этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	молодой парень	singular	male	occupation
юноша мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	юноша	singular	male	occupation
молодой парень мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	молодой парень	singular	male	occupation
муж должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	муж	singular	male	occupation
муж заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	муж	singular	male	occupation
муж был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	муж	singular	male	occupation
говорят, муж этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	муж	singular	male	occupation
муж мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	муж	singular	male	occupation
джентельмен должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	джентельмен	singular	male	occupation
джентельмен заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	джентельмен	singular	male	occupation
джентельмен был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	джентельмен	singular	male	occupation
говорят, джентельмен этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	джентельмен	singular	male	occupation
джентельмен мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	джентельмен	singular	male	occupation
жених должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	жених	singular	male	occupation
жених заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	жених	singular	male	occupation
жених был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	жених	singular	male	occupation
говорят, жених этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	жених	singular	male	occupation
жених мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	жених	singular	male	occupation
ее парень должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	ее парень	singular	male	occupation
ее молодой человек должен работать [M].	[I] должен работать [M].	[I] should work as a [M].	ее молодой человек	singular	male	occupation
ее парень заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	ее парень	singular	male	occupation
ее молодой человек заработал себе на жизнь, работая [M].	[I] заработал себе на жизнь, работая [M].	[I] has earned a living as a [M].	ее молодой человек	singular	male	occupation
ее парень был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	ее парень	singular	male	occupation
ее молодой человек был нанят как [M].	[I] был нанят как [M].	[I] was hired as a [M].	ее молодой человек	singular	male	occupation
говорят, ее парень этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	ее парень	singular	male	occupation
говорят, ее молодой человек этот работал [M].	говорят, [I] этот работал [M].	[I] worked as a [M].	ее молодой человек	singular	male	occupation
ее парень мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	ее парень	singular	male	occupation
ее молодой человек мечтает быть [M].	[I] мечтает быть [M].	[I] dreams of being a [M].	ее молодой человек	singular	male	occupation
мужчины должны работать [M].	[I] должны работать [M].	[I] should work as [M].	мужчины	plural	male	occupation
мужчины заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	мужчины	plural	male	occupation
мужчины были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	мужчины	plural	male	occupation
мужчины работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	мужчины	plural	male	occupation
мужчины мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	мужчины	plural	male	occupation
сыночки должны работать [M].	[I] должны работать [M].	[I] should work as [M].	сыночки	plural	male	occupation
сыночки заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	сыночки	plural	male	occupation
сыночки были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	сыночки	plural	male	occupation
сыночки работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	сыночки	plural	male	occupation
сыночки мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	сыночки	plural	male	occupation
отцы должны работать [M].	[I] должны работать [M].	[I] should work as [M].	отцы	plural	male	occupation
папы должны работать [M].	[I] должны работать [M].	[I] should work as [M].	папы	plural	male	occupation
отцы заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	отцы	plural	male	occupation
папы заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	папы	plural	male	occupation
отцы были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	отцы	plural	male	occupation
папы были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	папы	plural	male	occupation
отцы работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	отцы	plural	male	occupation
папы работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	папы	plural	male	occupation
отцы мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	отцы	plural	male	occupation
папы мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	папы	plural	male	occupation
сыночки должны работать [M].	[I] должны работать [M].	[I] should work as [M].	сыночки	plural	male	occupation
сыночки заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	сыночки	plural	male	occupation
сыночки были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	сыночки	plural	male	occupation
сыночки работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	сыночки	plural	male	occupation
